Neighborhood,Ward,Latitude,Longitude,Borough,Total Population,Population Male,Population Female,Sex Ratio,No.of Houses,Area Hectare,Population Density,Avg. Price,SqftPrice Min,SqftPrice Max,Properties
Vishranti Nagar,88,19.859835500000003,75.3635651,SE-A,17921,9061,8860,978,3981,7.21,2485,3897,1247,6547,4
Gajanan Nagar,89,19.862057500000002,75.3535334,SE-A,11038,5556,5482,987,2688,6.52,1692,2831,2451,3210,3
Pundlik Nagar,90,19.8657535,75.3517558,SE-A,10426,5318,5108,961,2102,12.85,811,8860,7845,9875,1
Nyay Nagar,91,19.8710234,75.3481404,E-A,8078,4187,3891,929,1406,4.56,1771,4696,4125,5266,3
Balkrushna Nagar,92,19.8618924,75.3516013,SE-A,9297,4847,4450,918,1664,9.58,970,3463,2341,4585,2
Garkheda,93,19.860812,75.3460551,S-A,7307,3969,3338,841,1416,7.65,955,4750,500,9000,21
Ulkanagari,94,19.8630545,75.3370762,S-A,11326,5722,5604,979,2362,8.32,1361,5061,3813,6308,18
Jai Vishwa Bharti Colony,95,19.864803100000003,75.3374503,S-A,8809,4535,4274,942,1809,6.54,1346,2793,2352,3233,1
Jyoti Nagar,96,19.861237,75.3294062,S-A,8822,4533,4289,946,1614,4.23,2085,5746,3367,8125,7
Eknathnagar,97,19.8608169,75.319657,S-A,7045,3547,3498,986,1301,10.25,687,3534,3512,3555,2
Shahnoorwadi,98,19.85889,"75.3224496,16",S-A,14313,7258,7055,972,2639,4.89,2926,17210,14545,19874,12
Vedant Nagar,99,19.861578,75.3149884,S-A,16272,8551,7721,903,3774,5.92,2748,4099,2316,5882,10
Bansilal Nagar,100,19.863317499999997,75.3115969,S-A,14910,7425,7485,1008,1247,13.2,1129,5033,3637,6429,3
Railway Station,101,19.860071899999998,75.264415,S-A,16620,8410,8210,976,578,9.5,1749,14482,10212,18751,1
Rahul Nagar,102,19.859989499999998,75.297246,W-A,6364,3240,3124,964,587,9.4,677,3896,1245,6547,3
Itkheda,103,19.844499399999997,75.2957224,S-A,16796,8475,8321,982,1101,25.4,661,4122,2994,5250,4
Kanchanwadi,104,19.8362145,75.2797709,S-A,14999,7510,7489,997,1541,30.1,498,4949,2250,7647,15
